"Param
Id","TCD
ID","Size/
16 Bit","Group Label
Long","Param. Label
Long","Group
SOLED","Label
SOLED","Group Label
Short","Param. Label
Short","Shape
GUI","Position
GUI","Inactive
CP","Bipolar
No/Yes","Button
Id",MC,Prio,Scaling Type,DV = f(CP),"Factor
CP to DV","DisplayValue
Range","Default
(DV)","Default
(CP)",Round,"Main
Unit","Mod
Unit","Mod Amt (+/-)
u. Stepsize fine","Stepsize/CP
coarse","Stepsize/CP
fine","Unclipped (16 Bit)
TCD_RAW Range","Clipped (14 Bit)
TCD_RAW Range","Factor
CP to TCD",Render Cell,Target,Comment,Parameter Info,
104,41,1,,Fold,,Fold,,Fold,Small Knob,1.0,,N,30,N,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Amount of folding back of the shaper curve for high input amplitudes.
0.0 %: flat saturation, no folding
100 %: fully folded back (periodic sine curve)
A higher amount of folding leads to a softer but more nasal sound.",
105,42,1,,Asymetry,,Asym,,Asymetry,Small Knob,1.1,,N,34,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Asymetry of the shaper curve, generating even (2nd, 4th, ...) harmonics. At higher values it becomes a parabolic curve that shifts the frequency of the fundamental to its double.",
106,43,2,,Mix,,Mix,,Mix,Vert. Slider,2.0,0,Y,38,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper B in the signal sent to the Filters and to the Output Mixer. At zero, it is the input signal of the Shaper - behind FB Mix. At negative values, the signal from the Shaper is inverted.",
108,44,2,,FB Mix,,FB Mix,,FB Mix,Vert. Slider,3.0,0,N,42.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,Crossfades between Oscillator & Shaper B (at zero) and the Feedback signal for the signal B.,
110,45,1,,FB - Env C,,FB Env,,Env C,Hor. Slider,3.1,,N,42.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (C) amount for the Feedback Mix. At zero, only a Gate signal is applied, at higher values, Envelope C is faded in.",
111,46,2,,Ring Mod,,Ring Mod,,Ring Mod,Big Knob,4.0,0,N,46,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,"Crossfades between the signal of branch B and the multiplication (ring modulation) product of branch A and branch B. At lower values the result is an amplitude modulation of signal B (carrier) by signal A (modulator). At 100 % signal B is fully cancelled and the output is only the product ""A x B"" containing frequencies that are sums and differences of the original frequencies.",
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,47,2,Comb Filter,A - B,Comb,A-B,Comb Filter,A - B,Vert. Slider,0.0,,N,49,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (A-50),direct,"A = 100 %, B = 0% ??",The signal for the Comb Filter as a crossfade between the outputs of Oscillator & Shaper A and Oscillator & Shaper B.,
115,48,2,,Pitch,,Pitch,,Pitch,Num 000.00,1.0,,N,53.0,Y,1,NUMERIC_120_ST,lin,120,0...120,60.00,0.5,0.01,st,st,120 (1/6000),1/120,1/12000,-12000 ... 24000,0 ... 12 000,12000,E - 0,direct,MC Range: -80...80 st,"Coarse pitch of the Comb Filter (delay) at C3 (MIDI note 60) [in semitones, based on MIDI note numbers].",
117,49,1,,Pitch - Key Trk,,Pitch KT,,Key Trk,Num 000.00,1.2,,N,53.1,N,2,FINE_105_PERCENT,lin,NA,0...105,100.00,100/105,0.01,%,NA,NA,1/105,1/10500,NA,0 ... 10 500,10500,E - 0,direct,,"Key scaling of the tuning of the Comb Filter (delay).
0.0 %: same tuning for all keys
100.0 %: full tracking with keys, origin at C3 = 60 semitones",
118,50,1,,Pitch - Env C,,Pitch Env,,Env C,Log. Hor. Slider,1.1,,Y,53.2,N,2,FINE_BIPOLAR_80_ST,lin,NA,-80...80,0,0.0,0.01,st,NA,NA,1/80,1/8000,NA,-8 000 ... 8 000,8000,E - 0 (A-50),direct,,Amount of modulation of the Comb Filter pitch by Envelope C [in semitones].,
119,51,2,,Decay,,Decay,,Decay,Big Knob,2.0,0,Y,57.0,Y,1,COMB_DECAY_BIPOLAR_MS,exp - bipolar !!,NA,"0, +/- 1...100 000",(0),0.0,3 St.,ms,%,,1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0,direct,,"Amount of the internal feedback noticeable as the decay time of the impules response [logarithmic scaling]. At negative values, the feedback signal is inverted, which shifts the fundamental resonance down by one octave.",
121,52,1,,Decay - Key Trk,,Decay KT,,Key Trk,Hor. Slider,2.2,,N,57.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,33,0.33,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,E - 0,direct,,"Key scaling of the decay time.
0.0 %: equal time for all keys
100.0 %: shortening to half time per octave, origin at C3 = 60 semitones",
122,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Id => 305 !!,,
123,53,2,,Allpass - Tune,,AP Tune,,AP Tune,Big Knob,3.0,,N,61.0,Y,1,LINEAR_0_140_ST,lin,140,0...140,140,1.0,0.1,st,st,140 (1/1400) ,1/140,1/1400,-14000 ... 28000,0 ... 14 000,14000,E - 0,direct,,"Center frequency of the 2-pole allpass filter [in semitones]. It is the frequency where the phase is shifted by 180 degrees. The allpass is in series with the delay. At the maximum position (140 semitones), the allpass has no effect.",
125,54,1,,Allpass - Key Trk,,AP KT,,Key Trk,Hor. Slider,3.2,,N,61.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,100,1.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0,direct,,"Key scaling of the allpass filter frequency.
0.0 %: same tuning for all keys
100.0 %: full tracking with the keys, origin at C3 = 60 semitones",
126,55,1,,Allpass - Env C,,AP Env,,Env C,Hor. Slider,3.1,,Y,61.2,N,2,LINEAR_BIPOLAR_80_ST,lin,80,-80...80,0,0.0,0.1,st,NA,,1/80,1/800,NA,-8 000 ... 8 000,8000,E - 0,direct,,Amount of modulation of the allpass center frequency by Envelope C [in semitones].,
127,56,2,,Allpass - Reson,,AP Reson,,AP Reson,Big Knob,4.0,,N,61.3,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0,direct,,Resonance of the 2-pole allpass. Determines how much the phase shift increases around the center frequency.,
129,57,2,,Hi Cut,,Hi Cut,,Hi Cut,Big Knob,5.0,,N,65.0,Y,1,LINEAR_40_140_ST,lin,100,40...140,140,1.0,0.1,st,st,100 (1/1000),1/100,1/1000,-10000 ... 20000,0 ... 10 000,10000,E - 0,direct,,Cutoff frequency [in semitones] of the lowpass filter that damps the higher frequencies in the comb filter's signal path.,
131,58,1,,Hi Cut - Key Trk,,Hi Cut KT,,Key Trk,Hor. Slider,5.2,,N,65.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,100,1.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0,direct,,"Key scaling of the lowpass cutoff frequency.
0.0 %: same cutoff for all keys
100.0 %: full tracking with the keys, origin at C3 = 60 semitones",
132,59,1,,Hi Cut - Env C ,,Hi Cut Env,,Env C,Hor. Slider,5.1,,Y,65.2,N,2,LINEAR_BIPOLAR_100_ST,lin,100,-100...100,0,0.0,0.1,st,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0,direct,,Amount of modulation of the cutoff frequency of the lowpass filter by Envelope C [in semitones].,
133,60,2,,PM,,PM,,PM,Big Knob,6.0,0,Y,69.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0,direct,,"Amount of (phase) modulation of the comb filter pitch (delay time) by the output signals of Oscillator & Shaper A and B, with the PM A-B knob determining their mix.",
135,61,1,,PM - A-B,,PM A-B,,A - B,Small Knob,6.1,,N,69.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0 (A-50),direct,,The (phase) modulation signal for the Comb Filter as a crossfade between the outputs of Oscillator & Shaper A and Oscillator & Shaper B.,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,63,2,State Variable Filter,A - B,SVF,A-B,SV Filter,A - B,Vert. Slider,0.0,,N,50,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0 (A-50),direct,"A = 100 %, B = 0% ??",The signal for the State Variable Filter as a crossfade between the outputs of Oscillator & Shaper A and Oscillator & Shaper B.,
138,64,2,,Comb Mix,,Comb Mix,,Comb Mix,Vert. Slider,1.0,0,Y,54,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,A - 60,direct,,The input signal for the State Variable Filter as mix of the signals from the A-B mixer and from the Comb Filter. Negative mix amounts will create different Comb Filter (cancellation) effects.,
140,65,2,,Cutoff,,Cutoff,,Cutoff,Big Knob,2.0,,N,58.0,Y,1,LINEAR_20_140_ST,lin,120,20...140,80,0.5,0.1,st,st,120 (1/1200),1/120,1/1200,-12000 ... 24000,0 ... 12 000,12000,E - 60,direct,(?) MC Range: -80...80 st,"Static value of the filter cutoff frequency at C3 [in semitones], applies to both stages of the filter. The offsets between their individual cutoffs is controlled by ""Spread"".",
142,66,1,,Cutoff - Key Trk,,Cutoff KT,,Key Trk,Hor. Slider,2.2,,N,58.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,100,1.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0,direct,,"Key scaling of the filter cutoffs.
0.0 %: no influence
100.0 %: full tracking with the keys, origin at C3 = 60 semitones",
143,67,1,,Cutoff - Env C,,Cutoff Env,,Env C,Hor. Slider,2.1,,Y,58.2,N,2,LINEAR_BIPOLAR_100_ST,lin,100,-100...100,0,0.0,0.1,st,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0,direct,,Amount of cutoff modulation by Envelope C [in semitones].,
144,68,2,,Resonance,,Reson,,Reson,Big Knob,3.0,,N,62.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0,direct,,"Amount of filter resonance, creating peaks at the cutoff frequencies.",
146,69,1,,Reson - Key Trk,,Reson KT,,Key Trk,Hor. Slider,3.2,,Y,62.1,N,2,LINEAR_BIPOLAR_100_ST,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0,direct,,"Key scaling of the filter resonance.
0.0 %: no influence
100.0 %: full tracking with the keys, origin at C3 = 60 semitones",
147,70,1,,Reson - Env C ,,Reson Env,,Env C,Hor. Slider,3.1,,Y,62.2,N,2,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0,direct,,Amount of resonance modulation by Envelope C.,
148,71,2,,Spread,,Spread,,Spread,Big Knob,4.0,,Y,66.0,Y,1,LINEAR_BIPOLAR_60_ST,lin,100,-60...60,12,0.2,0.1,st,st,60 (1/600),1/60,1/600,-12000 ... 12000,-6 000 ... 6 000,6000,E - 0,direct,,"Amount of splitting of the cutoffs of the two 2-pole filters. Half of the value is applied as a positive offset to the adjusted cutoff for the first stage and as a negative offset for the second stage [in semitones].
The split reduces the strong resonance peak in the 4-pole mode and allows filter curves with two formants. In bandpass/bandreject mode it controls the width of the band.",
150,72,2,,L - B - H,,L-B-H,,L - B - H,Big Knob,5.0,,N,66.1,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,E - 0,direct,,"Crossfades between the lowpass, bandpass and highpass outputs of the two filter stages.
(first stage -> second stage: LP -> LP, BP -> LP, HP -> LP, HP -> BP, HP -> HP)",
152,73,1,,Parallel,,Parallel ,,Parallel ,Small Knob,5.1,,Y,66.2,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,E - 0,direct,,"At zero, the two 2-pole filter stages are in series forming a 4-pole filter. Positive values crossfade from the serial structure to a parallel structure where the filter outputs are added.
In bandpass mode (L-B-H = 50.0%), the parallel structure with a negative Spread works as a band-reject filter. Negative values also crossfade to a parallel structure, but here the lower filter is subtracted, which leads to phase cancellations.",
153,74,2,,FM,,FM,,FM,Big Knob,6.0,0,Y,70.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0,direct,,"Amount of modulation of the cutoff frequencies by the output signals of Oscillator & Shaper A and B, with the FM A-B knob determining their mix. The amount is relative to the cutoff frequency.",
155,75,1,,FM - A-B,,FM A-B,,A - B,Small Knob,6.1,,N,70.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0 (A-50),direct,,The signal for the FM (cutoff frequency modulation) of the State Variable Filter as a crossfade between the outputs of Oscillator & Shaper A and Oscillator & Shaper B.,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,76,2,Feedback Mixer,Comb Filter,FB,Comb,FB Mixer,Comb,Vert. Slider,0.0,0,Y,48,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Feedback mix factor for the output of the Comb Filter.,
158,77,2,,SV Filter,,SV Filter,,SV Filter,Vert. Slider,1.0,0,Y,52,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Feedback mix factor for the output of the State Variable Filter.,
160,78,2,,Effects,,FX,,Effects,Vert. Slider,2.0,0,Y,56,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,"Feedback mix factor for the output of the Effects chain. The reverb amount in the feedback can be set by the ""Reverb Amount"" fader independantly. Since the signal is monophonic, such feedback will cause intermodulation between the voices.",
162,79,2,,Reverb Mix,,Rev,,Rev Mix,Vert. Slider,3.0,,N,60,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,"Controls the amount of reverb in the feedback independantly from the Mix in the Reverb section.
0.0 %: dry, no reverb signal
50.0 %: mix of 50 % dry and 50 % wet signal
100.0 %: wet, 100 % reverb signal",
164,80,2,,Drive,,Drive,,Drive,Big Knob,4.0,,N,64.0,Y,1,LINEAR_50_DB,lin,50,0...50,0,0.0,0.1,dB,dB,50 (1/500),1/100,1/500,-10000 ... 20000,0 ... 10 000,10000,lin,direct,,Input gain [in dB] of the sine shaper stage. Higher gains will create more distortion and harmonics.,
166,81,1,,Fold,,Fold,,Fold,Small Knob,5.0,,N,64.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Amount of folding back of the shaper curve for high input amplitudes.
0.0 %: flat saturation, no folding
100.0 %: fully folded back (periodic sine curve)
A higher amount of folding leads to a softer but more nasal sound.",
167,82,1,,Asymetry,,Asym,,Asymetry,Small Knob,5.1,,N,64.2,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Asymetry of the shaper curve, generating even (2nd, 4th, ...) harmonics. At higher values, it becomes a parabolic curve that shifts the frequency of the fundamental to its double.",
168,83,1,,Level - Key Trk,,Level KT,,Key Trk,Hor. Slider,6.1,,Y,68.1,N,2,LINEAR_BIPOLAR_1_DBST,lin,1,-1.0 ... 1.0,0,0.0,0.001,dB/st,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,"Key scaling of the feedback level [in dB per semitone].
positive values: higher level for higher notes (+ 1.0 = + 12 dB per octave)
negative values: lower level for higher notes (- 1.0 = - 12 dB per octave)
origin at C3 = 60 semitones",
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,85,2,Output Mixer,A - Level,Mixer,A Lvl,Output Mixer,A,Vert. Slider,0.0,0,Y,51.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Output mix factor for the signal from Oscillator & Shaper A.,
171,86,1,,A - Pan,,A Pan,,Pan,Small Knob,0.1,,Y,51.1,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,Pan position of the signal from Oscillator & Shaper A in the output mix.,
172,87,2,,B - Level,,B Lvl,,B,Vert. Slider,1.0,0,Y,55.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Output mix factor for the signal from Oscillator & Shaper B.,
174,88,1,,B - Pan,,B Pan,,Pan,Small Knob,1.1,,Y,55.1,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,Pan position of the signal from Oscillator & Shaper B in the output mix.,
175,89,2,,Comb - Level,,Comb Lvl,,Comb,Vert. Slider,2.0,0,Y,59.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Output mix factor for the signal from the Comb Filter.,
177,90,1,,Comb - Pan,,Comb Pan,,Pan,Small Knob,2.1,,Y,59.1,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,Pan position of the signal from the Comb Filter in the output mix.,
178,91,2,,SV Filter - Level,,SVF Lvl,,SV Filter,Vert. Slider,3.0,0,Y,63.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Output mix factor for the signal from the State Variable Filter.,
180,92,1,,SV Filter - Pan,,SVF Pan,,Pan,Small Knob,3.1,,Y,63.1,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,Pan position of the signal from the State Variable Filter in the output mix.,
181,93,2,,Drive,,Drive,,Drive,Big Knob,4.0,,N,67.0,Y,1,LINEAR_50_DB,lin,50,0...50,0,0.0,0.1,dB,dB,50 (1/500),1/100,1/500,-10000 ... 20000,0 ... 10 000,10000,lin,direct,,Input gain [in dB] of the sine shaper stage. Higher gains will create more distortion and harmonics.,
183,94,1,,Fold,,Fold,,Fold,Small Knob,5.0,,N,67.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Amount of folding back of the shaper curve for high input amplitudes.
0.0 %: flat saturation, no folding
100.0 %: fully folded back (periodic sine curve)
A higher amount of folding leads to a softer but more nasal sound.",
184,95,1,,Asymetry,,Asym,,Asymetry,Small Knob,5.1,,N,67.2,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Asymetry of the shaper curve, generating even (2nd, 4th, ...) harmonics. At higher values, it becomes a parabolic curve that shifts the frequency of the fundamental to its double.",
185,96,2,,Level,,Level,,Level,Vert. Slider,6.0,,N,71.0,Y,1,PARABOLIC_GAIN_DB,20*log10(4*CP^2),NA,-inf...12,-4.77,0.38,3 St.,dB,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,Master output level [in dB] of the synth. The output signal will be processed by the (monophonic) chain of effects.,
187,,1,,Key Pan,,Key Pan,,Key Pan,Small Knob,6.1,,N,71.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - Poly,,"Amount of key panning for each note (referring to the key position relative to the center at C3 = 60 semitones).
At zero, each note is centered before being passed to the panning section in the mix.
At maximum, low notes will be panned to the left, high notes to the right.",
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,98,2,Cabinet,Drive,Cab,Drive,Cabinet,Drive,Big Knob,0.0,,N,72.0,Y,1,LINEAR_50_DB,lin,50,0...50,20,0.4,0.1,dB,dB,50 (1/500),1/100,1/500,-10000 ... 20000,0 ... 10 000,10000,step - Sm core,direct,,Gain [in dB] for the input signal. Higher gains will increase the amount of distortion/saturation.,
190,99,1,,Fold,,Fold,,Fold,Small Knob,1.0,,N,72.1,N,1,LINEAR_100_PERCENT,lin,100,0...100,25,0.25,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Amount of folding back of the shaper curve for high input amplitudes.
0.0 %: flat saturation, no folding
100.0 %: fully folded back (periodic sine curve)
A higher amount of folding leads to a softer but more nasal sound.",
191,100,1,,Asymetry,,Asym,,Asymetry,Small Knob,1.1,,N,72.2,N,1,LINEAR_100_PERCENT,lin,100,0...100,25,0.25,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Asymetry of the shaper curve, generating even (2nd, 4th, ...) harmonics. At higher values, it becomes a parabolic curve that shifts the frequency of the fundamental to its double.",
192,101,2,,Tilt,,Tilt,,Tilt,Big Knob,2.0,,Y,76.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,-20,-0.2,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,step,direct,,"Controls two inverted shelving EQs before and after the distortion stage.
negative: more distortions at high frequencies
positive: more distortions at low frequencies",
194,102,2,,Hi Cut,,Hi Cut,,Hi Cut,Big Knob,3.0,,N,76.1,Y,1,LINEAR_60_140_ST,lin,80,60...140,110,50/80,0.1,st,st,80 (1/800),1/80,1/800,-16000 ... 32000,0 ... 16 000,16000,step,direct,,Cutoff frequency [in semitones] of the lowpass filter at the output.,
196,103,1,,Lo Cut,,Lo Cut,,Lo Cut,Small Knob,3.1,,N,76.2,N,1,LINEAR_20_100_ST,lin,80,20...100,30,10/80,0.1,st,NA,,1/80,1/800,NA,0 ... 16 000,16000,step,direct,,Cutoff frequency [in semitones] of the highpass filter at the input.,
197,104,2,,Cab Level,,Cab Lvl,,Cab Level,Big Knob,4.0,,N,80.1,Y,1,LINEAR_MINUS_50_0_DB,lin,50,-50 ... 0,-14,36/50,0.1,dB,dB,50 (1/500),1/50,1/500,-10000 ... 20000,0 ... 10 000,10000,step - Sm core,direct,,Output level [in dB] of the saturation effect before it is mixed with the dry signal.,
199,105,2,,Mix,,Mix,,Mix,Vert. Slider,5.0,0,N,80.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,step - Sm core,direct,,Crossfades between the dry signal and the saturated signal.,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,106,2,Gap Filter,Center,Gap Filt,Center,Gap Filter,Center,Big Knob,0.0,,N,84.0,Y,1,LINEAR_24_120_ST,lin,100,24...120,72,0.5,0.1,st,st,96 (1/960),1/96,1/960,-9600 ... 19200,0 ... 9 600,9600,E - 0 (core),direct,,Shifts the mean cutoff frequency of both 4-pole filters on both channels up or down [in semitones].,
203,107,1,,Stereo,,Stereo,,Stereo,Big Knob,0.1,,Y,84.1,N,1,LINEAR_BIPOLAR_36_ST,lin,36,-36 ... 36,0,0.0,0.1,st,NA,,1/72,1/720,NA,-7200 ... 7200,7200,E - 0 (core),direct,,Sets the differencebetween the center frequencies of the left and of the right channel [in semitones].,
204,108,2,,Gap,,Gap,,Gap,Big Knob,1.0,,N,88.0,Y,1,LINEAR_96_ST,lin,96,0 ... 96,12,12/96,0.1,st,st,96 (1/960),1/96,1/960,-9600 ... 19200,0 ... 9 600,9600,E - 0 (core),direct,,"Offset between the cutoffs of the lowpass and the highpass [in semitones].
When the filters are running in parallel (Mix > 0), the Gap determines the width of the attenuated band, in serial mode (Mix < 0), the Gap determines the width of the passed band.",
206,109,1,,Resonance,,Reson,,Reson,Small Knob,1.1,,N,88.2,N,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,,1/100,1/1000,NA,0 ... 16 000,16000,E - 0 (core),direct,,Resonance of both filters. Higher values create two resonance peaks at the upper and lower end of the gap.,
207,110,2,,Balance,,Balance,,Balance,Small Knob,2.0,,Y,88.1,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0 (core),direct,,"Balance between the levels of the ranges above and below the gap.
In the center position both ranges are equally weighted. Negative values boost the lower range and attenuate the higher range, positive values have the opposite effect.",
209,111,2,,Mix,,Mix,,Mix,Vert. Slider,3.0,0,Y,92,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0 (core),direct,,"Crossfades between the dry signal and the filtered signal. At positive values, the filter runs in parallel (band reject) mode, at negative values, it is a bandpass filter (in serial mode).",
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,112,2,Flanger,Time Mod,Flang,Depth,Flanger,T Mod,Big Knob,2.0,,Y,81.0,Y,1,PARABOLIC_BIP_100_PERCENT,100*CP*abs(CP),NA,-100 ... 100,0,0.0,3 St.,%,%,,1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,E - 0,direct,,Relative amount of the modulation of the delay times by the LFO and/or the envelope.,
213,113,1,,Phase,,Phase,,Phase,Small Knob,1.1,,N,77.2,N,1,LINEAR_180_DEG,lin,180,0 ... 180,90,0.5,0.1,deg,NA,,1/180,1/1800,NA,0 ... 14 400,14400,E - 0,direct,,Phase offset between the LFO signals modulating the delay times in the left and the right channel.,
